,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,fraudulent
328,10,33,18,3,0,1,1,1,0,2,0
329,190,105,215,60,0,1,1,2,1,2,0
330,10,28,21,3,0,1,0,1,0,2,0
331,45,100,176,0,0,1,0,0,0,0,0
332,204,100,1,0,1,1,1,1,0,0,0
333,87,28,44,31,0,1,0,2,1,2,0
334,0,417,0,0,0,1,0,2,3,0,0
335,45,162,73,0,0,1,0,0,0,0,0
336,66,184,32,46,0,1,0,3,5,5,0
337,86,102,86,0,0,1,0,2,3,5,0
338,10,37,21,3,0,1,1,1,3,2,0
339,45,87,149,0,0,1,0,0,0,0,0
340,377,419,47,1,0,1,1,2,0,0,0
341,215,93,0,0,0,1,1,5,0,0,0
342,424,46,167,4,0,1,0,2,2,2,0
343,108,67,120,11,0,1,0,2,6,2,0
344,10,28,21,3,0,1,0,1,0,2,0
345,17,82,34,19,0,1,0,2,7,10,0
346,33,211,49,4,0,0,1,0,0,0,0
347,10,33,18,3,0,1,1,1,0,2,0
348,53,82,97,0,0,1,0,0,0,0,0
349,45,78,140,0,0,1,0,0,0,0,0
350,179,462,194,0,0,1,0,2,1,0,0
351,19,151,22,15,0,1,1,2,0,0,0
352,0,123,72,19,0,0,1,2,6,2,0
353,155,640,0,0,0,1,0,0,0,0,0
354,0,16,0,0,0,0,0,2,6,2,0
355,85,280,99,43,0,1,1,2,0,2,0
356,86,176,105,0,0,1,0,2,3,5,0
357,31,28,8,4,0,0,0,1,1,0,1
358,86,160,86,0,0,1,0,4,3,5,0
359,196,96,44,0,0,1,0,4,0,0,0
360,66,214,64,0,1,0,0,4,0,0,0
361,377,190,308,0,0,1,1,2,1,2,0
362,151,229,72,55,0,1,1,2,1,2,0
363,134,404,38,30,0,1,1,2,2,2,0
364,96,34,3,7,0,1,1,0,0,0,0
365,10,33,18,3,0,1,1,1,0,2,0
366,155,187,134,7,1,1,1,2,2,1,0
367,131,97,6,2,0,1,1,0,7,5,0
368,0,45,0,0,0,0,0,2,3,2,0
369,174,181,66,0,0,1,1,2,6,2,0
370,0,257,35,5,0,0,1,0,0,0,0
371,124,536,78,84,0,1,1,2,2,2,0
372,155,246,134,0,0,1,1,2,5,6,0
373,79,239,34,20,0,0,0,2,0,0,0
374,0,647,0,0,0,0,0,2,6,5,0
375,86,238,84,0,0,1,0,2,3,5,0
376,0,316,77,5,0,0,0,2,6,2,0
377,120,262,29,67,0,1,1,2,3,2,0
378,0,256,90,6,0,0,1,2,1,2,0
379,58,398,0,0,0,1,1,2,0,0,0
380,0,92,77,4,0,0,0,2,6,2,0
381,72,183,77,0,0,1,1,2,0,0,0
382,0,140,43,4,0,0,0,2,6,0,0
383,19,44,5,2,0,1,1,2,7,0,0
384,32,86,0,0,0,0,0,2,0,0,0
385,0,164,131,48,0,0,1,2,6,10,0
386,10,33,18,3,0,1,1,1,0,2,0
387,72,120,31,0,0,1,1,2,6,10,0
388,84,263,51,313,0,1,1,2,0,0,0
389,0,32,108,0,0,0,0,2,6,2,0
390,134,229,81,15,0,1,1,2,6,6,0
391,86,134,69,0,0,1,0,2,3,5,0
392,129,166,75,87,0,1,0,0,0,0,0
393,86,157,176,0,0,1,0,4,3,5,0
394,210,122,117,53,0,1,1,2,6,2,0
395,196,15,8,0,0,0,0,1,0,0,0
396,0,87,54,61,0,1,0,0,0,0,0
397,43,180,235,39,1,1,1,2,6,0,0
398,75,168,102,45,0,1,0,2,6,0,0
399,243,104,65,0,0,1,0,2,6,2,0
400,20,119,210,84,0,1,0,0,0,0,0
401,152,78,59,16,0,1,0,2,1,2,0
402,110,177,127,27,0,1,0,2,0,0,0
403,0,332,28,15,0,1,1,2,1,10,0
404,10,20,18,3,0,1,1,1,0,2,0
405,73,248,101,33,0,1,0,2,6,2,0
406,192,71,72,0,0,1,0,3,5,2,0
407,18,51,16,0,0,1,0,0,6,0,0
408,86,319,175,0,0,1,0,2,1,5,0
409,44,171,88,48,0,1,0,2,1,2,0
410,112,139,57,48,0,1,1,2,1,2,0
411,218,25,0,0,0,1,0,0,0,0,0
412,0,174,204,0,0,0,0,0,0,0,0
413,131,95,10,2,0,1,1,2,7,5,0
414,86,132,91,0,0,1,0,4,3,5,0
415,10,27,21,3,0,1,1,1,3,2,0
416,83,65,92,117,0,1,0,2,6,2,0
417,81,42,8,0,0,1,1,1,6,2,0
418,86,100,96,0,0,1,0,2,3,5,0
419,141,287,59,0,0,1,1,2,0,0,0
420,86,157,176,0,0,1,0,4,3,5,0
421,10,34,18,3,0,1,1,1,0,2,0
422,79,189,128,43,0,1,0,2,1,0,0
423,86,162,154,27,1,1,0,2,3,0,0
424,0,67,52,0,0,0,0,2,6,0,0
425,110,176,126,86,0,1,0,2,0,0,0
426,115,284,22,0,0,1,0,2,6,2,0
427,131,88,11,2,0,1,1,2,7,5,0
428,80,143,56,73,0,1,1,0,0,0,0
429,91,138,47,1,0,1,0,2,3,2,0
430,330,211,53,53,0,1,1,2,6,2,0
431,0,187,84,0,0,0,0,2,6,0,0
432,53,147,127,85,0,1,0,0,0,0,0
433,0,15,51,0,0,0,0,1,0,0,0
434,192,10,35,0,0,1,1,2,1,0,0
435,0,19,3,0,0,0,0,2,1,0,0
436,10,34,18,3,0,1,1,1,0,2,0
437,10,34,18,3,0,1,1,1,0,2,0
438,124,123,121,62,0,1,0,2,7,10,0
439,72,235,68,48,0,1,1,2,6,2,0
440,226,38,7,0,0,1,0,0,6,0,0
441,0,60,15,22,0,0,0,2,1,5,0
442,16,201,17,0,0,1,0,2,0,2,0
443,20,98,71,38,0,1,0,4,0,0,0
444,10,34,18,3,0,1,1,1,0,2,0
445,86,153,86,0,0,1,0,4,3,5,0
446,91,144,59,3,0,1,0,1,3,5,0
447,86,150,103,0,0,1,0,2,3,5,0
448,90,78,14,8,0,1,0,0,0,0,0
449,215,385,0,0,0,1,0,0,0,0,0
450,85,214,125,116,0,1,0,2,6,2,0
451,61,143,0,0,0,1,0,2,6,10,0
452,361,252,48,203,0,1,1,0,0,0,0
453,112,55,270,0,0,1,0,2,6,2,0
454,86,135,86,0,0,1,0,4,3,5,0
455,86,150,81,0,0,1,0,2,3,5,0
456,20,177,47,51,0,1,0,2,1,2,0
457,80,145,46,48,0,1,1,0,0,0,0
458,52,24,224,0,0,1,0,2,0,0,0
459,0,123,137,7,0,1,1,2,7,0,0
460,167,278,53,0,0,1,1,0,0,6,0
461,0,207,96,0,0,0,1,2,1,2,0
462,10,34,18,3,0,1,1,1,0,2,0
463,96,75,0,0,0,1,1,2,0,2,0
464,134,364,160,0,0,1,1,2,7,0,0
465,58,307,0,0,0,1,1,0,0,0,0
466,86,149,95,0,0,1,0,4,3,5,0
467,99,340,61,19,0,1,1,2,6,0,0
468,0,339,0,0,0,0,0,2,3,2,0
469,74,112,37,28,0,1,1,2,0,0,0
470,86,245,84,0,0,1,0,2,3,5,0
471,0,507,0,0,0,0,0,0,0,0,0
472,0,65,11,0,0,0,0,4,1,1,0
473,10,33,18,3,0,1,1,1,0,2,0
474,0,26,9,8,0,0,0,2,0,0,0
475,80,129,53,0,0,1,1,0,0,0,0
476,124,222,0,0,0,1,0,2,6,0,0
477,86,336,98,0,0,1,0,2,3,5,0
478,84,119,1,109,0,1,0,2,3,10,0
479,86,150,85,0,0,1,0,2,3,5,0
480,19,112,175,15,0,1,0,2,6,2,0
481,167,500,38,0,0,1,1,2,0,6,0
482,107,151,90,44,0,1,1,2,6,2,0
483,104,118,89,0,0,1,0,0,0,0,0
484,52,93,174,19,0,1,0,0,0,0,0
485,216,113,64,0,0,1,0,2,6,2,0
486,0,23,18,4,0,1,0,2,3,2,0
487,86,154,86,0,0,1,0,2,3,5,0
488,32,324,230,0,0,0,0,2,0,0,0
489,131,115,6,2,0,1,1,2,7,5,0
490,216,131,58,82,0,1,1,2,3,5,0
491,165,184,97,46,0,1,1,2,6,3,0
492,392,176,163,32,0,1,1,2,6,2,0
493,0,54,39,0,0,0,0,2,3,5,1
494,32,149,0,0,0,0,0,2,0,0,0
495,86,154,86,0,0,1,0,2,3,5,0
496,86,150,86,0,0,1,0,2,3,5,0
497,90,207,38,17,0,1,1,2,1,2,0
498,86,256,134,0,0,1,0,2,1,2,0
499,99,339,0,0,0,1,0,0,0,0,0
500,2,22,0,2,0,1,0,2,3,11,0
501,110,109,92,116,0,1,0,0,0,0,0
502,0,81,0,0,0,0,0,2,6,2,0
503,10,33,18,3,0,1,1,1,0,2,0
504,88,291,119,82,0,1,0,2,1,7,0
505,90,98,52,12,0,1,1,3,5,8,0
506,35,46,0,0,0,1,0,2,3,5,0
507,86,150,86,0,0,1,0,4,3,5,0
508,10,33,18,3,0,1,1,1,0,2,0
509,86,213,83,0,0,1,0,2,3,5,0
510,0,209,8,9,0,0,0,2,7,0,0
511,110,268,127,87,0,1,0,2,0,0,0
512,10,33,18,3,0,1,1,1,0,2,0
513,129,16,3,0,0,0,1,2,4,4,0
514,131,134,0,0,0,1,0,5,0,0,0
515,190,39,90,50,0,1,1,2,1,1,0
516,201,108,22,278,0,1,0,0,0,0,0
517,67,174,67,37,0,1,0,2,0,0,0
518,0,28,0,0,0,0,0,0,0,0,0
519,131,142,5,3,0,1,1,5,1,10,0
520,216,134,47,21,0,1,0,2,6,2,0
521,10,28,20,3,0,1,0,1,0,2,0
522,115,155,39,0,0,1,0,0,0,0,0
523,218,24,0,0,0,1,0,0,0,0,0
524,53,221,58,50,0,1,1,2,0,0,0
525,0,217,217,217,1,0,0,2,5,2,0
526,131,103,6,2,0,1,1,2,7,5,0
527,39,77,219,47,0,1,1,2,6,2,0
528,86,299,110,0,0,1,0,2,1,2,0
529,0,203,90,139,0,1,1,2,7,5,0
530,105,140,24,21,0,1,0,2,1,2,0
531,64,49,0,0,0,1,1,0,0,0,0
532,134,173,83,221,0,1,1,5,5,6,0
533,421,162,156,0,0,1,1,2,1,0,0
534,10,33,18,3,0,1,1,1,0,2,0
535,64,87,0,0,0,1,1,0,0,0,0
536,0,96,214,22,0,0,1,4,3,10,0
537,0,234,0,0,0,0,0,2,0,0,1
538,79,343,82,0,1,1,0,1,0,0,0
539,207,304,0,2,0,1,1,2,6,0,0
540,0,82,0,0,0,0,0,2,6,2,0
541,243,18,390,0,0,1,1,0,0,0,0
542,370,44,47,9,0,1,1,2,6,2,0
543,35,62,0,0,0,1,0,2,3,5,0
544,171,123,51,23,0,1,1,2,7,10,0
545,10,35,21,3,0,1,1,1,3,2,0
546,86,203,103,0,0,1,0,2,3,5,0
547,48,168,92,29,0,1,1,2,6,0,0
548,24,131,171,0,0,1,1,2,4,2,0
549,0,30,16,0,0,0,1,2,6,0,0
550,0,67,275,0,0,0,0,2,6,2,0
551,10,33,18,3,0,1,1,1,0,2,0
552,86,239,174,0,0,1,0,2,3,5,0
553,33,17,0,0,0,1,0,0,0,0,0
554,63,302,58,0,0,1,1,2,6,2,0
555,10,35,21,3,0,1,1,1,3,2,0
556,33,24,8,0,0,1,1,2,3,5,0
557,95,68,0,0,0,1,1,2,7,10,0
558,0,66,0,0,0,0,0,0,0,0,0
559,39,217,61,29,0,1,1,2,6,2,0
560,53,90,97,40,0,1,1,2,6,2,0
561,86,150,110,0,0,1,0,4,3,5,0
562,0,130,0,8,0,0,0,5,5,0,0
563,392,233,250,36,0,1,1,2,0,0,0
564,105,236,0,0,0,1,0,4,5,0,0
565,86,154,102,0,0,1,0,2,3,5,0
566,141,141,155,83,0,1,1,2,6,2,0
567,86,269,68,0,0,1,0,2,3,5,0
568,10,33,18,3,0,1,1,1,0,2,0
569,10,33,18,3,0,1,1,1,0,2,0
570,87,97,182,55,0,1,1,2,3,5,0
571,201,120,90,307,0,1,0,2,2,10,0
572,0,375,858,18,0,0,0,4,1,10,0
573,147,552,144,67,0,1,1,2,6,2,1
574,131,113,243,6,0,1,1,2,6,0,0
575,10,35,21,3,0,1,1,1,3,2,0
576,10,33,18,3,0,1,1,1,0,2,0
577,100,111,59,69,0,1,1,2,1,5,0
